ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Definition
88111914-fd08-4ca2-b9f2-a516d9848dd2,Attribute,e3b98197-e7a9-4173-b419-e84e9e571326,Mortgage Finance,,,,,,,,"Companies that provide mortgages, mortgage insurance and other related services"
ec2a27b6-93c5-4411-a900-0c1ea5ee3b6c,Attribute,e3b98197-e7a9-4173-b419-e84e9e571326,Financial Data Providers,,,,,,,,Companies provide financial decision support tools for investment institutions. Including financial database operators and index data providers.
5b645400-9fa8-4e19-b6d2-ea99faef2319,Group,e751762f-c6af-4365-a9b1-5aadb30b6e6e,Investment Banking and Brokerage Services,,,,,,,,
d6ef8f64-5725-43e2-8277-a8048f18ef38,Attribute,5b645400-9fa8-4e19-b6d2-ea99faef2319,Diversified Financial Services,,,,,,,,"Companies providing a diversified range of services such as  investment banking, trading, and asset management. Diversified Investment Holding companies engaged in acquiring equity stake of listed securities are also classified in this group."
5c03f32b-cba2-4f6b-8368-cc4cffe66bc0,Attribute,5b645400-9fa8-4e19-b6d2-ea99faef2319,Asset Managers and Custodians,,,,,,,,"Companies that provide custodial, trustee and other related fiduciary services. i.e. mutual fund and private investment management. Also includes companies engaged in private equity and venture capital."
6c7430fb-28ec-468e-869c-5648667d881d,Attribute,5b645400-9fa8-4e19-b6d2-ea99faef2319,Investment Services,,,,,,,,"Companies that provide trading and brokerage services for financial assets such as equities, commodities, debts, currency, cryptocurrency. Also includes the operators of stock, currency, and other financial market exchanges."
82341779-00c0-4336-9a37-e65106f13967,Group,e751762f-c6af-4365-a9b1-5aadb30b6e6e,Mortgage and Real Estate Investment Trusts,,,,,,,,
1728f44a-4673-4a5d-8561-0ce79a1930d5,Attribute,82341779-00c0-4336-9a37-e65106f13967,Mortgage REITs: Diversified,,,,,,,,Mortgage REITs that invest in a combination of segments with no specific dominance over one or the other
6b4d3b03-d2de-485c-9f90-ababa41cd450,Attribute,82341779-00c0-4336-9a37-e65106f13967,Mortgage REITs: Commercial,,,,,,,,"REITs primarily involved in lending money to commercial real estate owners and operators directly or indirectly through the purchase of mortgages, mortgage backed securities and other mortgage related assets"
febc8839-d123-4e03-ba4c-b3d1a0343c40,Attribute,82341779-00c0-4336-9a37-e65106f13967,Mortgage REITs: Residential,,,,,,,,"REITs primarily involved in lending money to residential real estate owners and operators directly or indirectly through the purchase of mortgages, mortgage backed securities and other mortgage related assets"
50344127-67d0-44eb-b81b-a7b34ba05243,Group,e751762f-c6af-4365-a9b1-5aadb30b6e6e,Closed end Investments,,,,,,,,
7c8dc08f-cc4a-4433-8551-63929c9b1f6e,Attribute,50344127-67d0-44eb-b81b-a7b34ba05243,Closed End Investments,,,,,,,,"Corporate closed-ended investment entities identified under distinguishing legislation, such as investment trusts and venture capital trusts."
3d6d5323-426a-4039-9cab-db0116282515,Group,e751762f-c6af-4365-a9b1-5aadb30b6e6e," Open End
and Miscellaneous
Investment Vehicles",,,,,,,,
2caf6355-7cec-4736-a8ed-b7a73e9c7bb9,Attribute,3d6d5323-426a-4039-9cab-db0116282515,Open End and Miscellaneous Investment Vehicles,,,,,,,,"Cash shells, Special Purpose Acquisition Company (SPACs), Non corporate investment entities such as open-ended funds, unit trusts and ETFs and currency funds and split capital trusts."
f8cda34b-3568-4c74-b48e-89f8e1a2e6a6,Group,d2272083-66f0-4824-ae27-98d27b816d7f,Insurance,,,,,,,,
5df5341a-a31b-42af-a5c5-3660b5116881,Group,f8cda34b-3568-4c74-b48e-89f8e1a2e6a6,Life Insurance,,,,,,,,
76eec0ba-eda2-4969-9ff2-314a76b61a96,Attribute,5df5341a-a31b-42af-a5c5-3660b5116881,Life Insurance,,,,,,,,Companies engaged principally in life and health insurance.
a4f34c92-6f7c-4f85-91dd-bda478c26bd3,Group,f8cda34b-3568-4c74-b48e-89f8e1a2e6a6,Nonlife Insurance,,,,,,,,
958bfb5b-6d9d-4ed0-bdd0-fc79379f7b03,Attribute,a4f34c92-6f7c-4f85-91dd-bda478c26bd3,Full Line Insurance,,,,,,,,"Companies that provide a wide range of insurance products such as a combination of life, property/casualty, and specialty insurance"
e883b355-3538-468f-9479-00016f74be3f,Attribute,a4f34c92-6f7c-4f85-91dd-bda478c26bd3,Insurance Brokers,,,,,,,,Insurance brokers and agents
e11a5a7b-3194-4183-a3da-971aa5563780,Attribute,a4f34c92-6f7c-4f85-91dd-bda478c26bd3,Reinsurance,,,,,,,,Companies engaged principally in reinsurance.
e4ea22b6-bc64-4c14-b5b1-f2ae84c8b35c,Attribute,a4f34c92-6f7c-4f85-91dd-bda478c26bd3,Property and Casualty Insurance,,,,,,,,"Companies engaged principally in accident, fire, automotive, marine, malpractice and other classes of nonlife insurance."
030c9463-3d2d-4bd6-a53b-06ff8825429e,Object,5db04224-5886-41af-a1d9-256f6efb3df6,Real Estate,,,,,,,,
0acec4c5-a8a3-4dca-b801-6a084998d975,Group,030c9463-3d2d-4bd6-a53b-06ff8825429e,Real Estate,,,,,,,,
72c4f6b9-bdfd-46cb-bb6c-42afc095f461,Group,0acec4c5-a8a3-4dca-b801-6a084998d975,Real Estate Investment Services Department,,,,,,,,
bd3ee518-ef46-4d99-8ef9-3a4ecf8bd522,Attribute,72c4f6b9-bdfd-46cb-bb6c-42afc095f461,Real Estate Holding and Development,,,,,,,,Companies that invest directly or indirectly in a variety of types of properties without a concentration on any single type
8798cebe-1544-4604-8b48-1dd2fc887ebb,Attribute,72c4f6b9-bdfd-46cb-bb6c-42afc095f461,Real Estate Services,,,,,,,,"Companies that provide services to real estate companies but do not own the properties themselves. Includes agencies, brokers, leasing companies, management companies and advisory services."
3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Group,0acec4c5-a8a3-4dca-b801-6a084998d975,Real Estate Investment Trusts,,,,,,,,
ce9ac642-f2ab-4d99-9001-37b89aeaf7bf,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Diversified REITs,,,,,,,,REITS that invest in a combination of other defined REIT categories
973cf06b-5112-493d-8ae0-503f44f93da4,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Health Care REITs,,,,,,,,"REITs that primarily invest in health care facilities including hospitals, nursing homes and assisted living properties"
3acf0fda-dc10-46a9-ae23-10c19868b24a,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Hotel and Lodging REITs,,,,,,,,"REITS that primarily invest in hotels, motels, resorts or other lodging properties"
e3053520-672f-4e2f-a33c-a48f6b86ebd5,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Industrial REITs,,,,,,,,REITs that primarily invest in industrial properties including industrial warehouses and distribution properties
dd3ccc8f-f205-40fc-83e4-5c104ea2d6fc,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Infrastructure REITs,,,,,,,,"REITS that primarily invest in infrastructure assets including roads, bridges, tunnels, airports, power generation, fuels, pipelines, water and waste management, and communication assets"
ac48501c-cfd3-48f5-bb2c-7a50a07d8c1f,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Office REITs,,,,,,,,REITs that primarily invest in office properties
d33dd09e-508b-4968-9c74-031a78fdfd97,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Residential REITs,,,,,,,,"REITs that primarily invest in residential properties including manufactured homes, multifamily homes, apartments, and student housing properties"
633dacf6-64db-485c-b6cd-b7d5af2adf00,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Retail REITs,,,,,,,,"REITs that primarily invest in retail properties including malls, shopping centers, neighborhood and community shopping centers, strip malls, free standing stores, and factory outlets"
be23fb76-cd8b-4e07-8293-ecdfc7b3a34d,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Storage REITs,,,,,,,,REITs that primarily invest in public self-storage properties
43b1685d-827e-4cb9-9c49-624f37cb832d,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Timber REITs,,,,,,,,REITS that primarily invest in timberland and timber-related products and activities
d3baff0a-f08d-420e-843e-545bccb6e643,Attribute,3f6dce3a-2c37-4f0b-a289-2c3f79f61f63,Other Specialty REITs,,,,,,,,REITs that primarily invest in any single type of facility or property not specifically defined within another REITs industry
a700e59c-590a-4795-a1b5-747ece159f68,Object,5db04224-5886-41af-a1d9-256f6efb3df6,Consumer Discretionary,,,,,,,,
bbcb517a-643c-4631-aeaf-c23f37883877,Group,a700e59c-590a-4795-a1b5-747ece159f68,Automobiles and Parts,,,,,,,,
1d69b0a3-6b98-4d95-9277-9bc75a797935,Group,bbcb517a-643c-4631-aeaf-c23f37883877,Automobiles and Parts,,,,,,,,
16a7326b-519b-411c-968c-1c63f965ad68,Attribute,1d69b0a3-6b98-4d95-9277-9bc75a797935,Auto Services,,,,,,,,Companies that provide assistance to individual vehicle owners
a02bb7e6-c3ef-43ca-9e12-c5a9287989f2,Attribute,1d69b0a3-6b98-4d95-9277-9bc75a797935,Tires,,,,,,,,"Manufacturers, distributors and re-treaders of automobile, truck and motorcycle tires."
03f198cf-4890-46bd-9de2-3f59e2b8b45f,Attribute,1d69b0a3-6b98-4d95-9277-9bc75a797935,Automobiles,,,,,,,,"Makers of passenger vehicles, including cars, sport utility vehicles (SUVs) and light trucks. Excludes makers of heavy trucks and makers of recreational vehicles (RVs and ATVs)."
931713b6-e0e3-4c4e-8ba6-78592fc90733,Attribute,1d69b0a3-6b98-4d95-9277-9bc75a797935,Auto Parts,,,,,,,,"Manufacturers and distributors of new and replacement parts for motorcycles and automobiles, such as engines, carburetors and batteries. Excludes producers of tires, which are classified under Tires."
79a11837-2619-414b-86f2-19be9e3c447d,Group,a700e59c-590a-4795-a1b5-747ece159f68,ConsumerProducts andServices,,,,,,,,
18c35ad7-b565-445a-ab0e-a6cec3a8e362,Group,79a11837-2619-414b-86f2-19be9e3c447d,Consumer Services,,,,,,,,
f2b2185e-ccaa-4d20-8041-03a92c86a4b0,Attribute,18c35ad7-b565-445a-ab0e-a6cec3a8e362,Education Services,,,,,,,,"Companies that own and manage higher education systems, post-secondary degree programs or other educational services"
1a9fb158-58ab-44ab-b7a0-bdb31ec331a7,Group,a700e59c-590a-4795-a1b5-747ece159f68,"Consumer
Products and
Services",,,,,,,,
e65719c0-808c-4ee5-95d5-b4d1533d3471,Group,1a9fb158-58ab-44ab-b7a0-bdb31ec331a7,Consumer Services,,,,,,,,
2c72ed3d-3574-41b5-bafa-8e4109fb390d,Attribute,e65719c0-808c-4ee5-95d5-b4d1533d3471,Funeral Parlors and Cemetery,,,,,,,,"Companies that own and operate funeral homes, cemeteries, crematoriums and/or provide other funeral services."
780df96c-8b11-4f65-9573-3227ddf4569d,Attribute,e65719c0-808c-4ee5-95d5-b4d1533d3471,Printing and Copying Services,,,,,,,,"Companies specializing in printing, copying and/or similar solutions for individuals and small businesses"
3db9ddd5-dc75-41e5-b6e1-fe82b9985a26,Attribute,e65719c0-808c-4ee5-95d5-b4d1533d3471,Rental and Leasing Services: Consumer,,,,,,,,"Companies that lease automobiles, appliances, electronics or furniture to consumers"
7f1c0e0d-fe2a-4353-87e8-8eb33a54ff8d,Attribute,e65719c0-808c-4ee5-95d5-b4d1533d3471,Storage Facilities,,,,,,,,Companies that own and operate storage facilities (does not include companies structured as REITs
ce2972f7-c909-4a9d-b5dc-6ca95b63a3d8,Attribute,e65719c0-808c-4ee5-95d5-b4d1533d3471,Vending and Catering Service,,,,,,,,Companies that provide catering and food service and/or food ingredients to individuals or institutions
9812a8cb-63d7-40f2-992a-dcd2bad02143,Attribute,e65719c0-808c-4ee5-95d5-b4d1533d3471,Consumer Services: Misc.,,,,,,,,"Consumer Services companies that are not categorized in the Education Services, Funeral Parlors and Cemeteries, Printing and Copying Services, Rental and Leasing Services, Storage Facilities or Vending and Catering Services categories"
008df2b4-cc5c-40c3-86ae-57fe07af439f,Group,1a9fb158-58ab-44ab-b7a0-bdb31ec331a7,Household Goods and Home Construction,,,,,,,,
d93b25aa-0b7e-45bf-ac99-b4da5575ca42,Attribute,008df2b4-cc5c-40c3-86ae-57fe07af439f,Home Construction,,,,,,,,"Constructors of residential homes, including manufacturers of mobile and prefabricated homes intended for use in one place."
10aaf5b4-4120-413a-8d6a-f2cc61e361a0,Attribute,008df2b4-cc5c-40c3-86ae-57fe07af439f,Household Furnishings,,,,,,,,"Manufacturers and distributors of furniture, including chairs, tables, desks, and office furniture."
60ed2446-9acf-424f-ac08-eed163a4a445,Attribute,008df2b4-cc5c-40c3-86ae-57fe07af439f,Household Appliance,,,,,,,,Companies that manufacture and market household electrical appliances.
4afc55a8-c0e6-4c81-bad0-c223cd6764e4,Group,1a9fb158-58ab-44ab-b7a0-bdb31ec331a7,Leisure Goods,,,,,,,,
