ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,Level,Code
9f93789d-1516-4ba9-823a-284cc507cbd5,Attribute,e0bb58cd-3303-4e3a-8b0e-28fa35fadc30,Specialty Owners & Developers,,,,,,,,,4,15101018
0ecfd5d1-9edb-457c-97c2-7289eecc6e50,Attribute,6983c380-ea83-4051-baeb-5d0ebba8a0d7,REIT,,,,,,,,,3,151011
eb3adbae-0726-48f7-97c6-0786f641b93e,Group,6983c380-ea83-4051-baeb-5d0ebba8a0d7,Real Estate Services,,,,,,,,,3,151012
c0597f30-3642-44c3-976d-eab0f679f8dd,Attribute,eb3adbae-0726-48f7-97c6-0786f641b93e,Real Estate Services,,,,,,,,,4,15101210
38e81783-7179-489a-a7c2-d8276e3b73ef,Attribute,eb3adbae-0726-48f7-97c6-0786f641b93e,Building Construction,,,,,,,,,4,17111312
69f7a0d8-05f1-4123-bc30-3fdba2e5cebf,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Industrials,,,,,,,,,,
2780a65d-a7d8-4f5b-956e-bedea5739fdd,Group,69f7a0d8-05f1-4123-bc30-3fdba2e5cebf,Industrial Products,,,,,,,,,,
135f94fc-cd96-4ac9-a9f4-39bbbe4ad19f,Attribute,2780a65d-a7d8-4f5b-956e-bedea5739fdd,Electrical Power Equipment,,,,,,,,,4,17101211
78e03adb-2a8e-43c0-b11e-7893c51e39ef,Group,69f7a0d8-05f1-4123-bc30-3fdba2e5cebf,Machinery,,,,,,,,,3,171013
35a9f2fa-543d-4592-ab2f-726ac2eaa877,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Agricultural Machinery,,,,,,,,,4,17101310
72375a13-52cc-4891-acee-e73a91d19e3b,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Construction & Mining Machinery,,,,,,,,,4,17101311
4aa3a265-5402-4bf2-b94c-f137f9219c8e,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Engine & Transmission,,,,,,,,,4,17101312
ebfb84fb-29b3-47fb-9976-fb5a864ec0b3,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Factory Automation Equipment,,,,,,,,,4,17101313
e933b7e9-2597-4412-80b2-7ea88559686e,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Flow Control Equipment,,,,,,,,,4,17101314
8122fa24-8ad3-49bf-97b8-4c1885ad46ab,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Other Machinery & Equipment,,,,,,,,,4,17101315
bc34652e-3b8d-49a5-992e-f0cfee38521c,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Material Handling Machinery,,,,,,,,,4,17101316
4242ddd1-977c-434a-8edd-6858b9f79bbb,Attribute,78e03adb-2a8e-43c0-b11e-7893c51e39ef,Pollution Control Equipment,,,,,,,,,4,17101318
65d3fb6e-9150-41d5-a6ca-acf5dcfff651,Object,962efac7-b2be-44bf-ad6b-1ffb74ab59d1,Transport,,,,,,,,,,
c5bdfdde-3957-45e5-87e4-c2cda03e8812,Group,65d3fb6e-9150-41d5-a6ca-acf5dcfff651,Transportation Equipment,,,,,,,,,3,171014
