ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code,description
ae452541-8af7-43b0-8688-fe75941a9a55,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Multi-Sector Holdings,,,,,,,,4,40201030,"A company with significantly diversified holdings across three or more sectors, none of which contributes a majority of profit and/or sales. Stakes held are predominantly of a non-controlling nature.  Includes diversified financial companies where stakes held are of a controlling nature. Excludes other diversified companies classified in the Industrials Conglomerates Sub-Industry."
405f8be7-aebe-4495-98fd-bf9608be35ba,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Specialized Finance,,,,,,,,4,40201040,"Providers  of  specialized  financial  services  not  classified  elsewhere. Companies  in  this  sub-industry  derive  a  majority  of  revenue  from  one  specialized  line  of  business. 
Includes,  but  not  limited  to,  commercial  financing  companies,  central  banks,  leasing  institutions, factoring services, and specialty boutiques. Excludes companies classified in the Financial Exchanges & Data sub-industry."
5a0b39cb-2924-4c73-bb4e-99d190e1f1e8,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Commercial & Residential Mortgage Finance,,,,,,,,4,40201050,"Financial companies providing commercial and residential mortgage financing and related mortgage services. This Sub-Industry includes non-deposit funded mortgage lending institutions, building societies, companies providing real estate financing products, loan servicing, mortgage broker services, and mortgage insurance."
91df80a3-c348-4d7c-9b5d-43022a2518a1,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Transaction & Payment Processing Services,,,,,,,,4,40201060,"Providers of transaction & payment processing services and related payment services including digital/mobile payment processors, payment service providers & gateways, and digital wallet providers"
d4508d9e-cb7e-4842-9b2b-b49c6a200b15,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Consumer Finance,,,,,,,,3,402020,
8de719d4-64b4-46ec-abfb-a13e5d9a2dd9,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Consumer Finance,,,,,,,,4,40202010,"Providers of consumer finance services, including personal credit, credit cards, lease financing, travel-related money services and pawn shops.  Excludes mortgage lenders classified in the Thrifts & Mortgage Finance Sub-Industry."
98e7062a-9dfa-4c59-9e74-87433ce0d241,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Capital Markets,,,,,,,,3,402030,
0078d49f-c26f-40dc-ac43-c35397fa16aa,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Asset Management & Custody Banks,,,,,,,,4,40203010,"Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts.  Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities."
12764d12-483f-48be-a203-77b9d17af124,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Investment Banking & Brokerage,,,,,,,,4,40203020,"Financial institutions primarily engaged in investment banking & brokerage services, including equity and debt underwriting, mergers and acquisitions, securities lending and advisory services. Excludes banks and other financial institutions primarily involved in commercial lending, asset management and specialized financial activities."
56f3ab74-47f1-40f0-898e-b0c9cb0d14a2,Attribute,89b1268c-03b9-4633-b9b6-9c464a4c045f,Diversified Capital Markets,,,,,,,,4,40203030,"Financial institutions primarily engaged in diversified capital markets activities, including a significant presence in at least two of the following area: large/major corporate lending, investment banking, brokerage and asset management. Excludes less diversified companies classified in the Asset Management & Custody Banks or Investment Banking & Brokerage sub-industries.  Also excludes companies classified in the Banks or Insurance industry groups or the Consumer Finance Sub-Industry."
