ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Mapping ID,Code
a7cefb8e-ef9d-4560-8d94-e50b2cb388dd,Group,54162acf-4207-4cc9-b580-edce37236b16,Sea and coastal passenger water transport,,,,,,,,3,UK SIC,50.1,501
5c5ae980-7e22-4621-b60b-ae58fc2bde6c,Attribute,a7cefb8e-ef9d-4560-8d94-e50b2cb388dd,Sea and coastal passenger water transport,,,,,,,,4,UK SIC,5010,5010
166cbdfd-c6f0-470b-91c3-484d4e1c84fa,Group,54162acf-4207-4cc9-b580-edce37236b16,Sea and coastal freight water transport,,,,,,,,3,UK SIC,50.2,502
0c6c2dd4-e47f-435b-a63e-4170a85397cc,Attribute,166cbdfd-c6f0-470b-91c3-484d4e1c84fa,Sea and coastal freight water transport,,,,,,,,4,UK SIC,5020,5020
0d3c9885-0282-41ce-a4c2-96d2b2c79390,Group,54162acf-4207-4cc9-b580-edce37236b16,Inland passenger water transport,,,,,,,,3,UK SIC,50.3,503
9bf89591-6e44-4758-9e7f-21069db7ef56,Attribute,0d3c9885-0282-41ce-a4c2-96d2b2c79390,Inland passenger water transport,,,,,,,,4,UK SIC,5030,5030
2a0704eb-6c5d-4768-a6f5-e6bd1a135c21,Group,54162acf-4207-4cc9-b580-edce37236b16,Inland freight water transport,,,,,,,,3,UK SIC,50.4,504
1e855bc2-f777-4da0-8279-9705a0592288,Attribute,2a0704eb-6c5d-4768-a6f5-e6bd1a135c21,Inland freight water transport,,,,,,,,4,UK SIC,5040,5040
33a543f6-cb2f-4dfd-9e32-0e5b87cdf41f,Group,86b3397a-b49e-43a0-9bf5-911e42dd6c58,Air transport,,,,,,,,2,UK SIC,51,51
55fb3c24-155f-4660-8f7b-0297479f0a35,Group,33a543f6-cb2f-4dfd-9e32-0e5b87cdf41f,Passenger air transport,,,,,,,,3,UK SIC,51.1,511
9365f772-5b6b-4c73-9887-0d9389d882e5,Group,55fb3c24-155f-4660-8f7b-0297479f0a35,Passenger air transport,,,,,,,,4,UK SIC,5110,5110
35a24477-437f-4278-ae6b-12707f597e3b,Attribute,9365f772-5b6b-4c73-9887-0d9389d882e5,Scheduled passenger air transport,,,,,,,,5,UK SIC,51101,51101
0bb68fe7-3bbe-4bbb-8fae-6caa75e3479a,Attribute,9365f772-5b6b-4c73-9887-0d9389d882e5,Non-scheduled passenger air transport,,,,,,,,5,UK SIC,51102,51102
0822c3be-13e7-41a4-82b8-8417919f373f,Group,33a543f6-cb2f-4dfd-9e32-0e5b87cdf41f,Freight air transport and space transport,,,,,,,,3,UK SIC,51.2,512
06a89aa4-454d-455d-b185-ddb7a028df72,Attribute,0822c3be-13e7-41a4-82b8-8417919f373f,Freight air transport,,,,,,,,4,UK SIC,5121,5121
10488525-68f2-4d2c-9b94-6f7b93fbcc01,Attribute,0822c3be-13e7-41a4-82b8-8417919f373f,Space transport,,,,,,,,4,UK SIC,5122,5122
e814b79b-fb15-4d25-86fa-f54fce464079,Group,86b3397a-b49e-43a0-9bf5-911e42dd6c58,Warehousing and support activities for transportation,,,,,,,,2,UK SIC,52,52
2f6dd24d-1c55-40a5-b783-18404972b1d8,Group,e814b79b-fb15-4d25-86fa-f54fce464079,Warehousing and storage,,,,,,,,3,UK SIC,52.1,521
d994e617-3df7-4436-be45-155de5f59919,Group,2f6dd24d-1c55-40a5-b783-18404972b1d8,Warehousing and storage,,,,,,,,4,UK SIC,5210,5210
b7c8e492-cd9a-47f1-8fb5-c0136b1e6c77,Attribute,d994e617-3df7-4436-be45-155de5f59919,Operation of warehousing and storage facilities for water transport activities of division 50,,,,,,,,5,UK SIC,52101,52101
5fcd2cfa-fdda-4ccc-a5a0-feab8f240eed,Attribute,d994e617-3df7-4436-be45-155de5f59919,Operation of warehousing and storage facilities for air transport activities of division 51,,,,,,,,5,UK SIC,52102,52102
6a28b2cb-b69a-4c1f-b449-ceba4022cc27,Attribute,d994e617-3df7-4436-be45-155de5f59919,Operation of warehousing and storage facilities for land transport activities of division 49,,,,,,,,5,UK SIC,52103,52103
3abe50f2-1c2e-4e7f-8c80-930761a61f85,Group,e814b79b-fb15-4d25-86fa-f54fce464079,Support activities for transportation,,,,,,,,3,UK SIC,52.2,522
86f708bc-3b5e-49d4-b622-9302c167a7ff,Group,3abe50f2-1c2e-4e7f-8c80-930761a61f85,Service activities incidental to land transportation,,,,,,,,4,UK SIC,5221,5221
