ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Level 0 Group,Code,Mapping ID
467823ee-21f1-4953-b7ba-80fc7bc3d075,Attribute,8d30013f-96e9-4e34-9b28-868bbe049f59,Materials recovery,,,,,,,,4,ISIC Rev 4,,3830,3830
db2da4eb-8c9f-429f-9515-cefe95364551,Group,29d171fb-d9de-4a2b-a08d-39b67b36aec1,Remediation activities and other waste management services,,,,,,,,2,ISIC Rev 4,E,39,39
c264ceca-ba12-431b-b9e6-6c2bf35fb06c,Group,db2da4eb-8c9f-429f-9515-cefe95364551,Remediation activities and other waste management services,,,,,,,,3,ISIC Rev 4,,390,390
eee56da0-a52b-41bf-9f65-d8a5e0a94c5d,Attribute,c264ceca-ba12-431b-b9e6-6c2bf35fb06c,Remediation activities and other waste management services,,,,,,,,4,ISIC Rev 4,,3900,3900
71536dc1-8286-43d6-a2be-a37d36ca391a,Object,6ae6f75c-37b3-4190-851d-686b114eeb81,Construction,,,,,,,,1,ISIC Rev 4,F,F,F
6e3b3aa2-c145-47dd-b611-d4b4f812fcb3,Group,71536dc1-8286-43d6-a2be-a37d36ca391a,Construction of buildings,,,,,,,,2,ISIC Rev 4,F,41,41
719d5e08-2c94-4f52-b6a5-a12fce9fb051,Group,6e3b3aa2-c145-47dd-b611-d4b4f812fcb3,Construction of buildings,,,,,,,,3,ISIC Rev 4,,410,410
71f581eb-d007-452f-a145-d6c29f7d55be,Attribute,719d5e08-2c94-4f52-b6a5-a12fce9fb051,Construction of buildings,,,,,,,,4,ISIC Rev 4,,4100,4100
31644e9e-dd21-4a70-badc-58046f2999fb,Group,71536dc1-8286-43d6-a2be-a37d36ca391a,Civil engineering,,,,,,,,2,ISIC Rev 4,F,42,42
31a50e22-5391-4110-983e-f6f21c126aab,Group,31644e9e-dd21-4a70-badc-58046f2999fb,Construction of roads and railways,,,,,,,,3,ISIC Rev 4,,421,421
d94d70c9-9626-47e0-8590-561945661de9,Attribute,31a50e22-5391-4110-983e-f6f21c126aab,Construction of roads and railways,,,,,,,,4,ISIC Rev 4,,4210,4210
