ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Code
c67b9adb-88f8-42e8-812d-7f429852e2fd,Group,93f3ee02-c675-49c8-a6b7-4ec9bcb45502,Metals & Mining,,,,,,,,EM.3
168db6b2-c470-4e7e-a8ba-2d846f09ad98,Attribute,c67b9adb-88f8-42e8-812d-7f429852e2fd,Iron & Steel Producers,,,,,,,,EM-IS
e8e89b05-e029-4a4e-9d97-4c0bb8c445fb,Attribute,c67b9adb-88f8-42e8-812d-7f429852e2fd,Metals & Mining,,,,,,,,EM-MM
582d6924-9e75-4129-a553-e12bc52609b6,Group,93f3ee02-c675-49c8-a6b7-4ec9bcb45502,Oil & Gas,,,,,,,,EM.4
cfe6cb5a-db8b-4c2d-8a50-1a44d2f0c0aa,Attribute,582d6924-9e75-4129-a553-e12bc52609b6,Oil & Gas - Exploration & Production,,,,,,,,EM-EP
e43fbc26-5f77-4d34-a9b2-193f68da03c3,Attribute,582d6924-9e75-4129-a553-e12bc52609b6,Oil & Gas - Midstream,,,,,,,,EM-MD
793c7395-bd3b-41bd-b09a-66eff84c8f64,Attribute,582d6924-9e75-4129-a553-e12bc52609b6,Oil & Gas - Refining & Marketing,,,,,,,,EM-RM
63e86507-6a57-4438-b0e6-114a769983fc,Attribute,582d6924-9e75-4129-a553-e12bc52609b6,Oil & Gas - Services,,,,,,,,EM-SV
9d227cc3-e06a-40a4-90b9-8f655708139a,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Financials,,,,,,,,FN
f3a0e6e7-7737-47a4-b656-d60479032311,Group,9d227cc3-e06a-40a4-90b9-8f655708139a,Capital Markets,,,,,,,,FN.1
d6585e05-9b20-46ce-8198-982a7c609dc4,Attribute,f3a0e6e7-7737-47a4-b656-d60479032311,Asset Management & Custody Activities,,,,,,,,FN-AC
342d31bd-5932-48cb-a6a2-970261dbbc76,Attribute,f3a0e6e7-7737-47a4-b656-d60479032311,Investment Banking & Brokerage,,,,,,,,FN-IB
392d67eb-68a3-469c-a11f-0ed26067d43a,Attribute,f3a0e6e7-7737-47a4-b656-d60479032311,Security & Commodity Exchanges,,,,,,,,FN-EX
231d0002-b28e-4f2c-ae5e-064f44498dcd,Group,9d227cc3-e06a-40a4-90b9-8f655708139a,Corporate & Retail Banking,,,,,,,,FN.2
aae05f2f-b075-43fb-a343-e13cd7703562,Attribute,231d0002-b28e-4f2c-ae5e-064f44498dcd,Commercial Banks,,,,,,,,FN-CB
247b368b-72d1-49c4-b87e-de4586b95f45,Attribute,231d0002-b28e-4f2c-ae5e-064f44498dcd,Consumer Finance,,,,,,,,FN-CF
7de8c083-aad7-4d9f-a45f-e78fe91f6303,Attribute,231d0002-b28e-4f2c-ae5e-064f44498dcd,Mortgage Finance,,,,,,,,FN-MF
5b9a73df-49c0-4ea4-a462-14615d1fce62,Group,9d227cc3-e06a-40a4-90b9-8f655708139a,Insurance,,,,,,,,FN.3
97470e37-6042-4295-84a1-c78d434bc9be,Attribute,5b9a73df-49c0-4ea4-a462-14615d1fce62,Insurance,,,,,,,,FN-IN
75ef39c2-ed6c-4f98-b0cb-5e06edd5a168,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Food & Beverage,,,,,,,,FB
4b8bcd29-ea51-480f-8dfc-dfe36faaf73f,Group,75ef39c2-ed6c-4f98-b0cb-5e06edd5a168,Food,,,,,,,,FB.1
1aa39e3e-12b3-4e28-9b5b-ff5071b241d1,Attribute,4b8bcd29-ea51-480f-8dfc-dfe36faaf73f,Agricultural Products,,,,,,,,FB-AG
bc7d7adb-74a1-4c41-b1b7-a76aed9555e3,Attribute,4b8bcd29-ea51-480f-8dfc-dfe36faaf73f,"Meat, Poultry & Dairy",,,,,,,,FB-MP
e4ced01d-3528-4f30-93bd-781d0703c13f,Attribute,4b8bcd29-ea51-480f-8dfc-dfe36faaf73f,Processed Foods,,,,,,,,FB-PF
b12e489f-f6e9-4776-910a-b9913c41692f,Group,75ef39c2-ed6c-4f98-b0cb-5e06edd5a168,Beverages,,,,,,,,FB.2
cff4e98e-df6e-4a7b-9c5a-1aa44f14ce9a,Attribute,b12e489f-f6e9-4776-910a-b9913c41692f,Alcoholic Beverages,,,,,,,,FB-AB
08d4d1f4-67f0-49ca-841b-8df1acbbdd3a,Attribute,b12e489f-f6e9-4776-910a-b9913c41692f,Non-Alcoholic Beverages,,,,,,,,FB-NB
7b70616c-6623-4071-b8c7-71c30916b62d,Group,75ef39c2-ed6c-4f98-b0cb-5e06edd5a168,Food & Beverage Retail,,,,,,,,FB.3
8c6882bc-03f3-4fca-8112-826500dd3693,Attribute,7b70616c-6623-4071-b8c7-71c30916b62d,Food Retailers & Distributors,,,,,,,,FB-FR
33863f40-89cc-431c-ae09-394d42e36375,Group,75ef39c2-ed6c-4f98-b0cb-5e06edd5a168,Restaurants,,,,,,,,FB.4
b10f5332-e669-497f-bc28-ff15c491d8bd,Attribute,33863f40-89cc-431c-ae09-394d42e36375,Restaurants,,,,,,,,FB-RN
1ab40bc9-2560-4a94-b236-b0960f2703ec,Group,75ef39c2-ed6c-4f98-b0cb-5e06edd5a168,Tobacco,,,,,,,,FB.5
