ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,description,Code Group,Code,Mapping ID,Full Code,NACE Rev 1.1 Code,NACE Rev 1.1 desc,Level 0 Group,id,NACE rev 1 Source,NACE Rev 2 Target,Updates
d09ae75e-b577-46d1-ab80-259ef7f28928,Attribute,6f68bb0c-f19d-4c0c-a838-c070fe129536,Processing and preserving of potatoes,51cd9d91-cbd3-4d46-9259-59b5e9afe9f8,,,,,,,4,,NACE Rev 2,10.31,10.31,C10.31,15.31,Processing and preserving of potatoes,C,,,,
d48e4817-7a3e-472e-a8b9-1eddeb4107af,Attribute,6f68bb0c-f19d-4c0c-a838-c070fe129536,Manufacture of fruit and vegetable juice,9cd02618-f320-46cc-a1a4-cc0b4c3bbef7,,,,,,,4,,NACE Rev 2,10.32,10.32,C10.32,15.32,Manufacture of fruit and vegetable juice,C,,,,
8c4e92f7-1ed7-4583-94c9-a1174def86f7,Attribute,6f68bb0c-f19d-4c0c-a838-c070fe129536,Other processing and preserving of fruit and vegetables,"d5bdef0e-9183-426c-b27e-72453e026f3b,4c94c1ca-fb9e-4c56-ac58-80565f9f8bed,1c327e9a-3509-47f9-a5a6-984c70c511f7",,,,,,,4,,NACE Rev 2,10.39,10.39,C10.39,1.41,Agricultural service activities; landscape gardening,C,,,,
51549aee-e227-4536-916c-cf5bd200d4d2,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Manufacture of vegetable and animal oils and fats,,,,,,,,3,,NACE Rev 2,10.4,10.4,C10.4,N/A,N/A,C,,,,
59161fe5-5c59-4421-abbd-bb79cb9037ce,Attribute,51549aee-e227-4536-916c-cf5bd200d4d2,Manufacture of oils and fats,"897428ed-6202-426c-914a-a93be23013c1,6135f282-7eda-421f-bffc-1c497079bbea,d8a3fb98-5a2a-46d0-8309-6e0596cad315",,,,,,,4,,NACE Rev 2,10.41,10.41,C10.41,1.13,"Growing of fruit, nuts, beverage and spice crops",C,,,,
c21a2f3e-2c51-4aed-a919-e84aa5112140,Attribute,51549aee-e227-4536-916c-cf5bd200d4d2,Manufacture of margarine and similar edible fats,423fc0c4-a3cc-4ade-8be9-0bbfa6ec2b7b,,,,,,,4,,NACE Rev 2,10.42,10.42,C10.42,15.43,Manufacture of margarine and similar edible fats,C,,,,
d2ad4bbb-bb62-4a4e-ac11-30f9471edaeb,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Manufacture of dairy products,,,,,,,,3,,NACE Rev 2,10.5,10.5,C10.5,N/A,N/A,C,,,,
1eaace03-1390-438b-b4c7-a3be39e29996,Attribute,d2ad4bbb-bb62-4a4e-ac11-30f9471edaeb,Operation of dairies and cheese making,dd06b227-333e-43b3-a7b3-7977216772f6,,,,,,,4,,NACE Rev 2,10.51,10.51,C10.51,15.51,Operation of dairies and cheese making,C,,,,
273251fb-d974-40a1-bfa3-d7af18340475,Attribute,d2ad4bbb-bb62-4a4e-ac11-30f9471edaeb,Manufacture of ice cream,06aea9d5-4b92-49c0-8a7d-8c84dbc6082a,,,,,,,4,,NACE Rev 2,10.52,10.52,C10.52,15.52,Manufacture of ice cream,C,,,,
0b342fd2-2f87-4604-a4a5-cc02ac519dba,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,"Manufacture of grain mill products, starches and starch products",,,,,,,,3,,NACE Rev 2,10.6,10.6,C10.6,N/A,N/A,C,,,,
83a1a005-7268-420e-9198-fa6623ff0df0,Attribute,0b342fd2-2f87-4604-a4a5-cc02ac519dba,Manufacture of grain mill products,edebfcca-8e16-4e1a-8443-b22a36599907,,,,,,,4,,NACE Rev 2,10.61,10.61,C10.61,15.61,Manufacture of grain mill products,C,,,,
f37e93de-9711-4170-9b19-fb116449fefe,Attribute,0b342fd2-2f87-4604-a4a5-cc02ac519dba,Manufacture of starches and starch products,79dacd84-0d76-41c9-aa7e-786b6e5c33a3,,,,,,,4,,NACE Rev 2,10.62,10.62,C10.62,15.62,Manufacture of starches and starch products,C,,,,
c5618aab-1be7-4898-a37c-138ed4b7914f,Group,2e46b5c8-8b52-49d8-9282-288149070ddd,Manufacture of bakery and farinaceous products,,,,,,,,3,,NACE Rev 2,10.7,10.7,C10.7,N/A,N/A,C,,,,
47d10bf8-30b8-4ea7-ab9e-2bda7496aaad,Attribute,c5618aab-1be7-4898-a37c-138ed4b7914f,Manufacture of bread; manufacture of fresh pastry goods and cakes,1c9c55d2-d48b-4d7d-83be-b04c7107b9f5,,,,,,,4,,NACE Rev 2,10.71,10.71,C10.71,15.81,Manufacture of bread; manufacture of fresh pastry goods and cakes,C,,,,
